node_id,x,y
0,0.5,0.8
1,0.5,-0.8
2,-0.5,-0.8
3,0.05,0.4
4,0.05,-0.4
5,-0.05,-0.4
6,-0.05,0.4
7,-0.5,0.8
8,0.5,-0.723809523809524
9,0.5,-0.647619047619047
10,0.5,-0.571428571428571
11,0.5,-0.495238095238095
12,0.5,-0.419047619047619
13,0.5,-0.342857142857142
14,0.5,-0.266666666666666
15,0.5,-0.19047619047619
16,0.5,-0.114285714285714
17,0.5,-0.0380952380952376
18,0.5,0.0380952380952387
19,0.5,0.114285714285715
20,0.5,0.190476190476191
21,0.5,0.266666666666667
22,0.5,0.342857142857143
23,0.5,0.419047619047619
24,0.5,0.495238095238095
25,0.5,0.571428571428571
26,0.5,0.647619047619048
27,0.5,0.723809523809524
28,-0.05,-0.327272727272727
29,-0.05,-0.254545454545455
30,-0.05,-0.181818181818182
31,-0.05,-0.109090909090909
32,-0.05,-0.0363636363636363
33,-0.05,0.0363636363636365
34,-0.05,0.109090909090909
35,-0.05,0.181818181818182
36,-0.05,0.254545454545455
37,-0.05,0.327272727272727
38,-0.423076923076923,-0.8
39,-0.346153846153846,-0.8
40,-0.269230769230769,-0.8
41,-0.192307692307693,-0.8
42,-0.115384615384616,-0.8
43,-0.0384615384615389,-0.8
44,0.0384615384615379,-0.8
45,0.115384615384615,-0.8
46,0.192307692307692,-0.8
47,0.269230769230769,-0.8
48,0.346153846153846,-0.8
49,0.423076923076923,-0.8
50,0.05,0.327272727272727
51,0.05,0.254545454545455
52,0.05,0.181818181818182
53,0.05,0.109090909090909
54,0.05,0.0363636363636363
55,0.05,-0.0363636363636365
56,0.05,-0.109090909090909
57,0.05,-0.181818181818182
58,0.05,-0.254545454545455
59,0.05,-0.327272727272727
60,0.423076923076923,0.8
61,0.346153846153846,0.8
62,0.269230769230769,0.8
63,0.192307692307693,0.8
64,0.115384615384616,0.8
65,0.0384615384615389,0.8
66,-0.0384615384615379,0.8
67,-0.115384615384615,0.8
68,-0.192307692307692,0.8
69,-0.269230769230769,0.8
70,-0.346153846153846,0.8
71,-0.423076923076923,0.8
72,-0.5,0.723809523809524
73,-0.5,0.647619047619047
74,-0.5,0.571428571428571
75,-0.5,0.495238095238095
76,-0.5,0.419047619047619
77,-0.5,0.342857142857142
78,-0.5,0.266666666666666
79,-0.5,0.19047619047619
80,-0.5,0.114285714285714
81,-0.5,0.0380952380952376
82,-0.5,-0.0380952380952387
83,-0.5,-0.114285714285715
84,-0.5,-0.190476190476191
85,-0.5,-0.266666666666667
86,-0.5,-0.342857142857143
87,-0.5,-0.419047619047619
88,-0.5,-0.495238095238095
89,-0.5,-0.571428571428571
90,-0.5,-0.647619047619048
91,-0.5,-0.723809523809524
92,-0.00573648907914511,-0.462022248173897
93,0.112233025699267,-0.379910119713333
94,-0.114332789422018,-0.379575393154926
95,-0.113930201789164,-0.300304602948585
96,-0.11504684775914,-0.218181818181818
97,-0.11504684775914,-0.145454545454545
98,-0.111467870634601,-0.0714951730483051
99,-0.112213613488313,0.000663433166842364
100,-0.11504684775914,0.0727272727272728
101,-0.11504684775914,0.145454545454546
102,-0.11504684775914,0.218181818181818
103,-0.112712515859889,0.300043716980426
104,-0.112233025699267,0.379910119713333
105,0.00573648907914508,0.462022248173897
106,0.114332789422018,0.379575393154926
107,0.113917073988578,0.300211114403432
108,0.11504684775914,0.218181818181818
109,0.11504684775914,0.145454545454545
110,0.111037283041634,0.0718705976006454
111,0.112087619086875,-0.000498972076211192
112,0.11504684775914,-0.0727272727272728
113,0.11504684775914,-0.145454545454546
114,0.11504684775914,-0.218181818181818
