epoch,train_mse_standardized,val_mse,val_mae
1,0.19263655612511293,435.19126523526074,11.611528431033872
100,0.00042634396699473394,2.858896079549984,0.9360127386322368
200,0.00012636808028291274,0.9578124619395284,0.63662177330242
300,8.551363726650062e-05,0.6432250249953497,0.549126890013818
400,0.00018383160643261075,1.2621777070406612,0.5900715536865788
500,6.665482041647746e-05,0.7968804521625544,0.5554486025163646
600,9.278961045758537e-05,0.6059074900101642,0.5739674090257848
700,4.260021516587123e-05,0.3225675436698931,0.37185360240287524
800,3.940348467891916e-05,0.2878369097374464,0.3647677968689103
900,0.00012712022026024653,0.30555839798077433,0.37215106817059507
1000,3.1417816956938684e-05,0.25937377151177854,0.3310468792212523
1100,6.820802068360203e-05,0.2082417634717461,0.3001464148281383
1200,6.48205048578564e-05,1.0189516263862315,0.7779204083570277
1300,5.980164121230325e-05,0.8105594389346722,0.6010733264049435
1400,6.310042342900285e-05,0.21434564932133335,0.32145049253018265
1500,4.512282070180166e-05,0.252353726514613,0.35040928293517926
1600,1.8994375732435157e-05,0.1419261184138776,0.24895200180088312
1700,3.4655988512231346e-05,0.14250059512737387,0.2546256922161768
1800,5.541761646103594e-05,0.5608788280530311,0.5548154035987768
1900,3.5105552645594194e-05,0.45236678315939005,0.5375754119803846
2000,4.54669874641926e-05,0.2864093285731448,0.4146368432423425
2100,3.982878916715327e-05,0.2286777755841106,0.3580645354048195
2200,3.756925449009046e-05,0.4189180176058053,0.4852626117178642
2300,1.3945244543517927e-05,0.10474737751240633,0.21995096271540843
2400,2.163847152371004e-05,0.13447697170197018,0.24812533873819712
2500,3.114381179546486e-05,0.33273224257557843,0.4326128268079693
2600,1.9144225241631382e-05,0.23298744201660157,0.3764872530636604
2700,7.785894120619531e-05,0.15925489455934555,0.2767130604785046
2800,5.432378022652258e-05,0.3803906833017224,0.43034748362846115
2900,2.190510289192533e-05,0.2196626104411084,0.34919619571054333
3000,2.5505212613371974e-05,0.22750009368066074,0.3192369397913788
3100,7.477077878002814e-05,0.13805604567062826,0.2598643113047628
3200,1.3545618261314447e-05,0.07630085852140743,0.19450140851425204
3300,3.78985096465349e-05,0.1523668109262341,0.27612033316337603
3400,1.8954051256514504e-05,0.3132793493984508,0.4420503719269283
3500,2.7090832003205646e-05,0.15374814853105956,0.2864180985708085
3600,3.0936795343540515e-05,0.20731759172988856,0.3402485857420768
3700,2.065254160055384e-05,0.1763130472144302,0.3327709158207554
3800,9.100669072968086e-06,0.0591103226365416,0.17365883306040514
3900,1.0395623303699562e-05,0.07632762921910707,0.19922986729074768
4000,9.089885981074264e-06,0.08137998407930473,0.21139150277827604
4100,4.586710563686095e-05,0.10146336081887589,0.2323240261986142
4200,2.416101786669363e-05,0.07127195418827117,0.20510549688014854
4300,3.061795094557359e-05,0.1965064849334509,0.30150466884344884
4400,2.6467315085447187e-05,0.2666028810358372,0.41859894317834556
4500,3.5576462274938035e-05,1.4840307060120597,0.9778295282549869
4600,1.060285866955498e-05,0.18006393856472439,0.3035452308568284
4700,1.2217002123064064e-05,0.0816452538021027,0.21170160306554262
4800,1.9670666982540477e-05,0.09032485520758596,0.21411742818058213
4900,3.389802085375922e-05,0.24143418344510656,0.3721869024505961
5000,6.859360550628307e-06,0.05559346551527512,0.1673072910092585
5100,4.3097034951267504e-05,0.24129910743696079,0.3376277606990062
5200,1.356765294675579e-05,0.12842982121335675,0.2585241278823541
5300,9.457039478576686e-06,0.0648239160394993,0.18778045844599234
5400,2.7565052003785875e-05,0.1040061091727951,0.22742915164316052
5500,1.7871590357355583e-05,0.08397709684307073,0.19900508837364697
5600,5.20614045731308e-05,0.20337382059248668,0.33526078446922386
5700,2.717011416316093e-05,0.4035403075618268,0.5067674687876452
5800,1.9470490327775122e-05,0.061408664028660784,0.17662791574352724
5900,2.4325015941045306e-05,0.18087688463345136,0.2961095765820977
6000,1.8332168552761788e-05,0.545594694522503,0.5053313638077301
6100,9.862241567827282e-06,0.08584026453446368,0.2180700031375669
6200,1.2064399587841993e-05,0.06954022690822749,0.17663242642841642
6300,3.986947786322003e-05,0.24886021387009394,0.3537459832362307
6400,6.647936887684553e-06,0.05016775719432874,0.15992736158998105
6500,6.970700037563513e-06,0.05230795555374249,0.1667958063657592
6600,2.055565835054574e-05,0.06032150510757688,0.17929075574117995
6700,2.9993835170667838e-05,0.05463719311755261,0.16567892667117304
6800,1.041226998643377e-05,0.06281210702563089,0.1883745317177978
6900,1.4820363776019053e-05,0.05282196269824661,0.17066610254127693
7000,1.7788775658623814e-05,0.07232853424522072,0.1868247356112041
7100,5.658904777351021e-06,0.05807194082645062,0.1774075310462727
7200,3.237995823231662e-05,1.08757796116697,0.7816385780386373
7300,2.0766490002816206e-05,0.2566725733058523,0.404248158980389
7400,1.0646437754220396e-05,0.060852751180428225,0.18929393309854867
7500,8.385112818042028e-06,0.09045356400158941,0.22060384149183762
7600,3.780789417024131e-05,0.10804062486505833,0.2707690197864628
7700,1.4551172754066117e-05,0.2699534227626394,0.4116398490853861
7800,1.043827981426321e-05,0.0807407612270779,0.2010211531104955
7900,1.3542964721196652e-05,0.050091044129698184,0.16493212762603413
8000,9.905708284783205e-06,0.04801398904415485,0.16685189348770108
8100,1.5609706589015013e-05,0.07665152188601677,0.20166478855539613
8200,5.588030959072981e-06,0.049441192155522284,0.17429593853939687
8300,5.861457306569459e-06,0.0728513607795006,0.20976426330012798
8400,2.016275749924933e-05,0.0372596736830108,0.13661369617834113
8500,2.64132846362531e-05,0.17058192692105734,0.3064063809626227
8600,8.128651240931215e-06,0.24735916613451206,0.4083971417139447
8700,3.599639317613649e-05,0.03495972211669091,0.13552666246755865
8800,7.571050475906391e-06,0.17068105753857532,0.3586831969522835
8900,9.395889913588372e-06,0.08926154584300762,0.22255071765441203
9000,5.9035612852067203e-05,0.06283430994773398,0.179195696426357
9100,1.677487258467365e-05,0.04955121250109337,0.17723180290793075
9200,2.6512249910916176e-05,0.2778787195979873,0.4263742247081938
9300,4.044246362889045e-05,0.1300023340584199,0.26863240421494117
9400,4.763275805024543e-06,0.04477672016809857,0.1619161798732351
9500,1.0806569806600381e-05,0.04098868469532385,0.1487219918179674
9600,3.068017832945424e-05,0.07398027484919749,0.19674293362364478
9700,1.9060865589554376e-05,0.37233696693195506,0.5145855169663894
9800,6.686536745104287e-06,0.032895669439752626,0.1337658596255071
9900,1.1648449476380184e-05,0.14114328821229827,0.27601934766012526
10000,9.85091782644708e-06,0.07747699785124418,0.2179843475272596
